LOAD kn,STRAIN1 mm
0.00062,0
0.014538,0.000236
0.006783,0.000177
0.003642,0.000304
0.00906,0.000305
0.007057,0.000309
0.003821,0.00039
0.011551,0.000532
0.003201,0.000421
0.003022,0.000491
0.013196,0.000581
0.007308,0.000637
0.00627,0.00072
0.01176,0.000961
0.007552,0.000977
0.009745,0.000943
0.012589,0.001216
0.00428,0.001149
0.008959,0.001113
0.013745,0.00116
0.005311,0.001175
0.009269,0.001277
0.015444,0.001322
0.005275,0.001315
0.010449,0.001463
0.015515,0.001452
0.006866,0.001401
0.011533,0.001521
0.018126,0.001595
0.007516,0.001423
0.014019,0.001617
0.014412,0.001864
0.007457,0.00177
0.01595,0.001996
0.016415,0.002044
0.009221,0.002032
0.015521,0.002104
0.016892,0.002238
0.007564,0.0021
0.013936,0.00216
0.019145,0.00224
0.011128,0.002255
0.018066,0.002407
0.019383,0.002493
0.013453,0.002563
0.018549,0.002758
0.017405,0.002668
0.011742,0.002597
0.020719,0.002734
0.016367,0.002644
0.011814,0.00265
0.020188,0.002799
0.019056,0.002834
0.013995,0.002778
0.023168,0.003096
0.019705,0.003135
0.01266,0.003121
0.02141,0.003189
0.019133,0.003301
0.014442,0.003177
0.023389,0.003384
0.020409,0.003434
0.017488,0.003465
0.026107,0.003587
0.021571,0.003508
0.018609,0.003608
0.027478,0.003699
0.020516,0.003708
0.017673,0.003612
0.028676,0.003832
0.023019,0.003943
0.020266,0.004011
0.027841,0.004103
0.021744,0.00407
0.023097,0.004088
0.030839,0.004271
0.025189,0.00429
0.027394,0.004314
0.030357,0.004417
0.024956,0.004441
0.028807,0.004468
0.033712,0.004614
0.025028,0.004398
0.02836,0.004655
0.032896,0.004866
0.024664,0.004855
0.03252,0.004995
0.036472,0.005202
0.0296,0.005203
0.032204,0.005273
0.034481,0.005394
0.028604,0.005255
0.034505,0.005313
0.03801,0.00544
0.029755,0.005327
0.036591,0.005462
0.037777,0.00552
0.030899,0.005458
0.034642,0.005575
0.038946,0.005683
0.030851,0.005559
0.040406,0.005843
0.039452,0.005835
0.031304,0.005915
0.041306,0.005952
0.045776,0.006502
0.040281,0.006621
0.05179,0.00672
0.050431,0.006939
0.046307,0.006941
0.055015,0.007197
0.051278,0.007233
0.048476,0.007119
0.056374,0.007377
0.052541,0.007307
0.048077,0.007447
0.058889,0.007665
0.054657,0.00767
0.053614,0.007607
0.061131,0.007883
0.057274,0.007799
0.055182,0.007959
0.064111,0.008269
0.06125,0.008355
0.058258,0.008382
0.070536,0.00855
0.065625,0.008807
0.062239,0.008778
0.07242,0.008895
0.064731,0.008951
0.065219,0.008894
0.074679,0.009092
0.065631,0.008911
0.066018,0.009075
0.073308,0.009235
0.064647,0.009329
0.068152,0.009249
0.074202,0.009402
0.069296,0.009369
0.070417,0.009623
0.076395,0.009747
0.073415,0.009767
0.074083,0.009844
0.080699,0.010138
0.073487,0.010254
0.079674,0.010422
0.085235,0.010694
0.077367,0.010805
0.081486,0.010896
0.085956,0.010852
0.075293,0.010781
0.080329,0.01083
0.085652,0.010898
0.076592,0.010838
0.08375,0.010985
0.089532,0.01112
0.079608,0.011072
0.083661,0.011172
0.088906,0.01137
0.080937,0.01147
0.088841,0.011368
0.088984,0.01164
0.087452,0.011674
0.093353,0.011905
0.097865,0.012206
0.091517,0.012258
0.099343,0.012395
0.098622,0.012584
0.092864,0.012579
0.099707,0.012559
0.100994,0.012752
0.092399,0.012761
0.10078,0.012971
0.098389,0.012858
0.096786,0.012914
0.1073,0.013088
0.104666,0.013139
0.09855,0.013092
0.106722,0.013423
0.107038,0.013544
0.105643,0.013596
0.112951,0.013901
0.112891,0.014011
0.111979,0.014142
0.116771,0.01424
0.109667,0.014275
0.108087,0.013994
0.119895,0.014299
0.10913,0.014332
0.1086,0.014386
0.116491,0.014407
0.112718,0.014427
0.111973,0.014518
0.121075,0.014729
0.115174,0.014735
0.114065,0.014661
0.122827,0.015113
0.118703,0.015045
0.11937,0.015181
0.128293,0.015491
0.124651,0.01566
0.127339,0.015729
0.132918,0.015907
0.124758,0.015881
0.127488,0.015936
0.134861,0.016073
0.12697,0.016074
0.125313,0.01609
0.133151,0.016288
0.124145,0.016192
0.128245,0.016247
0.1378,0.016363
0.131118,0.016406
0.133717,0.016477
0.139904,0.01659
0.131613,0.016671
0.140017,0.016942
0.145578,0.017164
0.140876,0.017222
0.14618,0.01734
0.15133,0.017668
0.143564,0.017519
0.147772,0.017598
0.150663,0.017903
0.145316,0.017707
0.150692,0.017766
0.15341,0.017986
0.14385,0.017895
0.152117,0.018139
0.155789,0.018156
0.150317,0.018132
0.157732,0.018275
0.160301,0.018642
0.156456,0.018761
0.165617,0.019003
0.163966,0.019089
0.160629,0.018994
0.163364,0.019127
0.163484,0.019194
0.158429,0.019077
0.164044,0.019281
0.164843,0.019381
0.159055,0.019148
0.165588,0.01944
0.165373,0.019578
0.158811,0.019398
0.169003,0.019507
0.165296,0.019553
0.162232,0.019477
0.175548,0.019817
0.177032,0.020023
0.171649,0.020274
0.183177,0.020496
0.177556,0.020541
0.175655,0.020467
0.182289,0.020699
0.180781,0.020631
0.176221,0.020602
0.185961,0.020876
0.181568,0.020849
0.183445,0.021129
0.19334,0.021341
0.187302,0.02145
0.18701,0.021437
0.194615,0.021579
0.189221,0.021698
0.189579,0.021673
0.197637,0.021938
0.192004,0.022013
0.18996,0.022011
0.199771,0.022067
0.194454,0.022109
0.194156,0.022208
0.20346,0.022334
0.192589,0.022293
0.196171,0.022348
0.204057,0.022413
0.199366,0.022529
0.203937,0.022627
0.2114,0.022868
0.2056,0.023027
0.209337,0.023231
0.213903,0.023278
0.21109,0.023276
0.210619,0.023319
0.218302,0.023435
0.209183,0.023366
0.213253,0.023474
0.217664,0.023541
0.208175,0.023588
0.214839,0.023575
0.219351,0.023757
0.211585,0.023702
0.219214,0.02395
0.225365,0.024216
0.220829,0.024172
0.22791,0.024307
0.227976,0.024447
0.225276,0.024402
0.232387,0.024707
0.237161,0.024999
0.22772,0.024868
0.237513,0.025031
0.239962,0.02532
0.233561,0.025242
0.24178,0.025364
0.240743,0.025449
0.23756,0.025547
0.245923,0.025671
0.245738,0.025662
0.238132,0.025714
0.247997,0.025716
0.24516,0.025744
0.242138,0.025826
0.25171,0.025912
0.251502,0.0261
0.246662,0.026148
0.258559,0.026391
0.257075,0.026507
0.253338,0.026589
0.264466,0.026686
0.258082,0.026835
0.256288,0.026785
0.265729,0.026972
0.261992,0.026987
0.25667,0.026971
0.264257,0.027024
0.26378,0.027161
0.259662,0.027064
0.266951,0.027256
0.263458,0.027223
0.266838,0.027354
0.278318,0.027733
0.27591,0.027739
0.274199,0.027873
0.278342,0.028093
0.27048,0.028133
0.274372,0.027965
0.279325,0.028125
0.274175,0.02805
0.27355,0.028103
0.28277,0.028258
0.278693,0.028302
0.278151,0.028242
0.28497,0.028414
0.27703,0.028305
0.282305,0.028389
0.290167,0.028597
0.280815,0.028753
0.288302,0.028876
0.296783,0.029137
0.289631,0.029078
0.293642,0.029251
0.302577,0.029502
0.295091,0.029357
0.300086,0.029426
0.304639,0.029667
0.29273,0.029452
0.296682,0.02953
0.303513,0.029824
0.299168,0.029776
0.30371,0.02985
0.306851,0.029902
0.301182,0.029931
0.307369,0.029996
0.313175,0.030163
0.305468,0.030223
0.316262,0.03032
0.31929,0.030649
0.310218,0.030638
0.319117,0.030861
0.320691,0.030798
0.313866,0.030714
0.321448,0.030853
0.325453,0.03098
0.319666,0.031218
0.328666,0.031266
0.330204,0.031388
0.328678,0.031485
0.333017,0.03168
0.336349,0.03178
0.328535,0.031783
0.340319,0.03186
0.336969,0.031888
0.328422,0.031984
0.337362,0.032037
0.339073,0.032068
0.331575,0.032035
0.340986,0.032264
0.342101,0.032294
0.337988,0.032306
0.347602,0.032398
0.347614,0.032562
0.33946,0.032588
0.35041,0.032754
0.35134,0.032856
0.347811,0.032774
0.362289,0.033166
0.360113,0.033399
0.3555,0.033447
0.367808,0.033607
0.364184,0.033661
0.355893,0.033539
0.368321,0.033634
0.366211,0.033696
0.35947,0.033755
0.372863,0.034004
0.368059,0.034014
0.368297,0.034016
0.377649,0.034225
0.376529,0.034327
0.376207,0.034459
0.386441,0.034661
0.381398,0.034705
0.381833,0.034668
0.390166,0.03502
0.383699,0.035009
0.384915,0.035063
0.391072,0.035202
0.382674,0.035179
0.387627,0.035278
0.392848,0.035456
0.388604,0.035387
0.39292,0.035456
0.398433,0.035642
0.393897,0.035603
0.39615,0.035693
0.406504,0.036019
0.399715,0.03593
0.404596,0.036137
0.413644,0.036225
0.405353,0.036327
0.41045,0.036421
0.419176,0.036631
0.4143,0.036665
0.41225,0.036721
0.4197,0.036895
0.409728,0.0368
0.413823,0.036814
0.417936,0.037107
0.41132,0.036934
0.418746,0.036929
0.426191,0.03732
0.41967,0.037197
0.425065,0.037316
0.430626,0.037387
0.418216,0.037264
0.431025,0.037513
0.432169,0.037669
0.428104,0.037662
0.437844,0.037924
0.437391,0.038023
0.43444,0.037909
0.442749,0.038178
0.444818,0.038219
0.436509,0.038316
0.444716,0.038495
0.446463,0.038485
0.440973,0.038482
0.4502,0.038542
0.45312,0.038878
0.44955,0.03883
0.459254,0.038937
0.462878,0.03931
0.458074,0.03934
0.469232,0.039578
0.465977,0.039566
0.458276,0.03938
0.466901,0.03959
0.465429,0.039694
0.461918,0.039625
0.472367,0.039812
0.471765,0.039995
0.465178,0.039767
0.474471,0.040105
0.475091,0.040058
0.473279,0.040181
0.482494,0.040458
0.480437,0.040519
0.478858,0.040523
0.490427,0.040784
0.488377,0.0409
0.485671,0.040897
0.491261,0.040958
0.487262,0.041094
0.484633,0.041082
0.496554,0.041361
0.493222,0.041223
0.492251,0.041329
0.503081,0.041487
0.499207,0.04165
0.499535,0.041754
0.506777,0.041971
0.501555,0.041937
0.502586,0.04202
0.510329,0.042067
0.502551,0.042031
0.502598,0.041992
0.510317,0.04219
0.500602,0.042163
0.506127,0.042168
0.50953,0.042336
0.504488,0.042224
0.50844,0.042248
0.513691,0.042431
0.512207,0.042651
0.517732,0.042684
0.525922,0.042972
0.520837,0.043105
0.527215,0.043186
0.535768,0.043448
0.527281,0.043437
0.53038,0.043532
0.53823,0.043575
0.528723,0.04363
0.532413,0.04372
0.536495,0.043747
0.531644,0.043668
0.539982,0.043792
0.542325,0.044052
0.537914,0.044094
0.545627,0.044185
0.54996,0.044318
0.542337,0.044458
0.548184,0.044442
0.551873,0.044615
0.547028,0.04462
0.557446,0.044776
0.558448,0.044909
0.555289,0.044972
0.564432,0.045111
0.564927,0.045229
0.560057,0.045345
0.566387,0.045519
0.565219,0.045438
