POSN mm ,LOAD kn,STRAIN1 mm,STRESS(MPA),TIME(sec)
-54.285433,0.001049,0,-0.013357,1.3
-54.28681,0.003576,0.000175,-0.045535,1.31
-54.286687,0.013244,0.000325,-0.16863,1.32
-54.286069,0.001782,0.000341,-0.022691,1.33
-54.288236,0.006592,0.000581,-0.083935,1.34
-54.286024,0.00993,0.000736,-0.126434,1.35
-54.285774,0.001782,0.000852,-0.022691,1.36
-54.287482,0.011367,0.001122,-0.144724,1.37
-54.286169,0.007778,0.001247,-0.099038,1.38
-54.286751,0.003892,0.001204,-0.049557,1.39
-54.287986,0.012541,0.001457,-0.159675,1.4
-54.285633,0.004494,0.001387,-0.057222,1.41
-54.288799,0.009173,0.001457,-0.116796,1.42
-54.28839,0.01123,0.001653,-0.142979,1.43
-54.286728,0.005925,0.001519,-0.075436,1.44
-54.289235,0.01151,0.001663,-0.146546,1.45
-54.286342,0.012308,0.00162,-0.156715,1.46
-54.285892,0.005722,0.001821,-0.072855,1.47
-54.289553,0.01629,0.001867,-0.20741,1.48
-54.287954,0.007457,0.002034,-0.09494,1.49
-54.288508,0.009537,0.002194,-0.121426,1.5
-54.288422,0.01514,0.002398,-0.192763,1.51
-54.287346,0.010228,0.002501,-0.130229,1.52
-54.289076,0.017238,0.00255,-0.219477,1.53
-54.287146,0.012839,0.002606,-0.163469,1.54
-54.288022,0.00897,0.002653,-0.114216,1.55
-54.28914,0.019991,0.002846,-0.254538,1.56
-54.288776,0.011539,0.002916,-0.146925,1.57
-54.289644,0.011951,0.002925,-0.152161,1.58
-54.288635,0.02104,0.003071,-0.267895,1.59
-54.287318,0.011563,0.003009,-0.147229,1.6
-54.289253,0.01772,0.003241,-0.225624,1.61
-54.287659,0.019461,0.003364,-0.247784,1.62
-54.290529,0.016391,0.003609,-0.2087,1.63
-54.291447,0.026631,0.003952,-0.339081,1.64
-54.289244,0.020367,0.004067,-0.25932,1.65
-54.290825,0.021774,0.004096,-0.27723,1.66
-54.290961,0.026077,0.004156,-0.332023,1.67
-54.289031,0.016963,0.004095,-0.215986,1.68
-54.28924,0.025707,0.004237,-0.327318,1.69
-54.290289,0.021493,0.004294,-0.273663,1.7
-54.289666,0.02113,0.004208,-0.269034,1.71
-54.289644,0.028652,0.004292,-0.364808,1.72
-54.289616,0.021219,0.004449,-0.270172,1.73
