LOAD kn,STRAIN1 mm
-0.009382,0.002743
0.000858,0.002796
-0.005591,0.002838
-0.010127,0.002743
0.000322,0.002811
-0.004441,0.002817
-0.006247,0.002757
0.00037,0.002738
-0.00512,0.00278
-0.005746,0.00261
-0.000411,0.002708
-0.007027,0.002606
-0.006586,0.002453
0.000119,0.002508
-0.00816,0.00245
-0.006086,0.002324
0.000942,0.002279
-0.007081,0.00214
-0.005525,0.002093
0.000024,0.002107
-0.008351,0.001993
-0.004435,0.001862
-0.003743,0.001905
-0.008446,0.001784
-0.004709,0.001677
-0.000238,0.00179
-0.009364,0.001606
-0.006402,0.001514
-0.0058,0.00159
-0.009435,0.001459
-0.002468,0.001209
-0.00267,0.001441
-0.008112,0.001202
-0.007182,0.001364
-0.0027,0.001269
-0.009739,0.001302
-0.004643,0.001285
-0.00062,0.001197
-0.014538,0.000961
-0.006783,0.00102
-0.003642,0.000893
-0.00906,0.000892
-0.007057,0.000888
-0.003821,0.000807
-0.011551,0.000665
-0.003201,0.000776
-0.003022,0.000706
-0.013196,0.000616
-0.007308,0.00056
-0.00627,0.000477
-0.01176,0.000236
-0.007552,0.00022
-0.009745,0.000254
-0.012589,-0.000019
-0.00428,0.000048
-0.008959,0.000084
-0.013745,0.000037
-0.005311,0.000022
-0.009269,-0.00008
-0.015444,-0.000125
-0.005275,-0.000118
-0.010449,-0.000266
-0.015515,-0.000255
-0.006866,-0.000204
-0.011533,-0.000324
-0.018126,-0.000398
-0.007516,-0.000226
-0.014019,-0.00042
-0.014412,-0.000667
-0.007457,-0.000573
-0.01595,-0.000799
-0.016415,-0.000847
-0.009221,-0.000835
-0.015521,-0.000907
-0.016892,-0.001041
-0.007564,-0.000903
-0.013936,-0.000963
-0.019145,-0.001043
-0.011128,-0.001058
-0.018066,-0.00121
-0.019383,-0.001296
-0.013453,-0.001366
-0.018549,-0.001561
-0.017405,-0.001471
-0.011742,-0.0014
-0.020719,-0.001537
-0.016367,-0.001447
-0.011814,-0.001453
-0.020188,-0.001602
-0.019056,-0.001637
-0.013995,-0.001581
-0.023168,-0.001899
-0.019705,-0.001938
-0.01266,-0.001924
-0.02141,-0.001992
-0.019133,-0.002104
-0.014442,-0.00198
-0.023389,-0.002187
-0.020409,-0.002237
-0.017488,-0.002268
-0.026107,-0.00239
-0.021571,-0.002311
-0.018609,-0.002411
-0.027478,-0.002502
-0.020516,-0.002511
-0.017673,-0.002415
-0.028676,-0.002635
-0.023019,-0.002746
-0.020266,-0.002814
-0.027841,-0.002906
-0.021744,-0.002873
-0.023097,-0.002891
-0.030839,-0.003074
-0.025189,-0.003093
-0.027394,-0.003117
-0.030357,-0.00322
-0.024956,-0.003244
-0.028807,-0.003271
-0.033712,-0.003417
-0.025028,-0.003201
-0.02836,-0.003458
-0.032896,-0.003669
-0.024664,-0.003658
-0.03252,-0.003798
-0.036472,-0.004005
-0.0296,-0.004006
-0.032204,-0.004076
-0.034481,-0.004197
-0.028604,-0.004058
-0.034505,-0.004116
-0.03801,-0.004243
-0.029755,-0.00413
-0.036591,-0.004265
-0.037777,-0.004323
-0.030899,-0.004261
-0.034642,-0.004378
-0.038946,-0.004486
-0.030851,-0.004362
-0.040406,-0.004646
-0.039452,-0.004638
-0.031304,-0.004718
-0.041306,-0.004755
-0.045776,-0.005305
-0.040281,-0.005424
-0.05179,-0.005523
-0.050431,-0.005742
-0.046307,-0.005744
-0.055015,-0.006
-0.051278,-0.006036
-0.048476,-0.005922
-0.056374,-0.00618
-0.052541,-0.00611
-0.048077,-0.00625
-0.058889,-0.006468
-0.054657,-0.006473
-0.053614,-0.00641
-0.061131,-0.006686
-0.057274,-0.006602
-0.055182,-0.006762
-0.064111,-0.007072
-0.06125,-0.007158
-0.058258,-0.007185
-0.070536,-0.007353
-0.065625,-0.00761
-0.062239,-0.007581
-0.07242,-0.007698
-0.064731,-0.007754
-0.065219,-0.007697
-0.074679,-0.007895
-0.065631,-0.007714
-0.066018,-0.007878
-0.073308,-0.008038
-0.064647,-0.008132
-0.068152,-0.008052
-0.074202,-0.008205
-0.069296,-0.008172
-0.070417,-0.008426
-0.076395,-0.00855
-0.073415,-0.00857
-0.074083,-0.008647
-0.080699,-0.008941
-0.073487,-0.009057
-0.079674,-0.009225
-0.085235,-0.009497
-0.077367,-0.009608
-0.081486,-0.009699
-0.085956,-0.009655
-0.075293,-0.009584
-0.080329,-0.009633
-0.085652,-0.009701
-0.076592,-0.009641
-0.08375,-0.009788
-0.089532,-0.009923
-0.079608,-0.009875
-0.083661,-0.009975
-0.088906,-0.010173
-0.080937,-0.010273
-0.088841,-0.010171
-0.088984,-0.010443
-0.087452,-0.010477
-0.093353,-0.010708
-0.097865,-0.011009
-0.091517,-0.011061
-0.099343,-0.011198
-0.098622,-0.011387
-0.092864,-0.011382
-0.099707,-0.011362
-0.100994,-0.011555
-0.092399,-0.011564
-0.10078,-0.011774
-0.098389,-0.011661
-0.096786,-0.011717
-0.1073,-0.011891
-0.104666,-0.011942
-0.09855,-0.011895
-0.106722,-0.012226
-0.107038,-0.012347
-0.105643,-0.012399
-0.112951,-0.012704
-0.112891,-0.012814
-0.111979,-0.012945
-0.116771,-0.013043
-0.109667,-0.013078
-0.108087,-0.012797
-0.119895,-0.013102
-0.10913,-0.013135
-0.1086,-0.013189
-0.116491,-0.01321
-0.112718,-0.01323
-0.111973,-0.013321
-0.121075,-0.013532
-0.115174,-0.013538
-0.114065,-0.013464
-0.122827,-0.013916
-0.118703,-0.013848
-0.11937,-0.013984
-0.128293,-0.014294
-0.124651,-0.014463
-0.127339,-0.014532
-0.132918,-0.01471
-0.124758,-0.014684
-0.127488,-0.014739
-0.134861,-0.014876
-0.12697,-0.014877
-0.125313,-0.014893
-0.133151,-0.015091
-0.124145,-0.014995
-0.128245,-0.01505
-0.1378,-0.015166
-0.131118,-0.015209
-0.133717,-0.01528
-0.139904,-0.015393
-0.131613,-0.015474
-0.140017,-0.015745
-0.145578,-0.015967
-0.140876,-0.016025
-0.14618,-0.016143
-0.15133,-0.016471
-0.143564,-0.016322
-0.147772,-0.016401
-0.150663,-0.016706
-0.145316,-0.01651
-0.150692,-0.016569
-0.15341,-0.016789
-0.14385,-0.016698
-0.152117,-0.016942
-0.155789,-0.016959
-0.150317,-0.016935
-0.157732,-0.017078
-0.160301,-0.017445
-0.156456,-0.017564
-0.165617,-0.017806
-0.163966,-0.017892
-0.160629,-0.017797
-0.163364,-0.01793
-0.163484,-0.017997
-0.158429,-0.01788
-0.164044,-0.018084
-0.164843,-0.018184
-0.159055,-0.017951
-0.165588,-0.018243
-0.165373,-0.018381
-0.158811,-0.018201
-0.169003,-0.01831
-0.165296,-0.018356
-0.162232,-0.01828
-0.175548,-0.01862
-0.177032,-0.018826
-0.171649,-0.019077
-0.183177,-0.019299
-0.177556,-0.019344
-0.175655,-0.01927
-0.182289,-0.019502
-0.180781,-0.019434
-0.176221,-0.019405
-0.185961,-0.019679
-0.181568,-0.019652
-0.183445,-0.019932
-0.19334,-0.020144
-0.187302,-0.020253
-0.18701,-0.02024
-0.194615,-0.020382
-0.189221,-0.020501
-0.189579,-0.020476
-0.197637,-0.020741
-0.192004,-0.020816
-0.18996,-0.020814
-0.199771,-0.02087
-0.194454,-0.020912
-0.194156,-0.021011
-0.20346,-0.021137
-0.192589,-0.021096
-0.196171,-0.021151
-0.204057,-0.021216
-0.199366,-0.021332
-0.203937,-0.02143
-0.2114,-0.021671
-0.2056,-0.02183
-0.209337,-0.022034
-0.213903,-0.022081
-0.21109,-0.022079
-0.210619,-0.022122
-0.218302,-0.022238
-0.209183,-0.022169
-0.213253,-0.022277
-0.217664,-0.022344
-0.208175,-0.022391
-0.214839,-0.022378
-0.219351,-0.02256
-0.211585,-0.022505
-0.219214,-0.022753
-0.225365,-0.023019
-0.220829,-0.022975
-0.22791,-0.02311
-0.227976,-0.02325
-0.225276,-0.023205
-0.232387,-0.02351
-0.237161,-0.023802
-0.22772,-0.023671
-0.237513,-0.023834
-0.239962,-0.024123
-0.233561,-0.024045
-0.24178,-0.024167
-0.240743,-0.024252
-0.23756,-0.02435
-0.245923,-0.024474
-0.245738,-0.024465
-0.238132,-0.024517
-0.247997,-0.024519
-0.24516,-0.024547
-0.242138,-0.024629
-0.25171,-0.024715
-0.251502,-0.024903
-0.246662,-0.024951
-0.258559,-0.025194
-0.257075,-0.02531
-0.253338,-0.025392
-0.264466,-0.025489
-0.258082,-0.025638
-0.256288,-0.025588
-0.265729,-0.025775
-0.261992,-0.02579
-0.25667,-0.025774
-0.264257,-0.025827
-0.26378,-0.025964
-0.259662,-0.025867
-0.266951,-0.026059
-0.263458,-0.026026
-0.266838,-0.026157
-0.278318,-0.026536
-0.27591,-0.026542
-0.274199,-0.026676
-0.278342,-0.026896
-0.27048,-0.026936
-0.274372,-0.026768
-0.279325,-0.026928
-0.274175,-0.026853
-0.27355,-0.026906
-0.28277,-0.027061
-0.278693,-0.027105
-0.278151,-0.027045
-0.28497,-0.027217
-0.27703,-0.027108
-0.282305,-0.027192
-0.290167,-0.0274
-0.280815,-0.027556
-0.288302,-0.027679
-0.296783,-0.02794
-0.289631,-0.027881
-0.293642,-0.028054
-0.302577,-0.028305
-0.295091,-0.02816
-0.300086,-0.028229
-0.304639,-0.02847
-0.29273,-0.028255
-0.296682,-0.028333
-0.303513,-0.028627
-0.299168,-0.028579
-0.30371,-0.028653
-0.306851,-0.028705
-0.301182,-0.028734
-0.307369,-0.028799
-0.313175,-0.028966
-0.305468,-0.029026
-0.316262,-0.029123
-0.31929,-0.029452
-0.310218,-0.029441
-0.319117,-0.029664
-0.320691,-0.029601
-0.313866,-0.029517
-0.321448,-0.029656
-0.325453,-0.029783
-0.319666,-0.030021
-0.328666,-0.030069
-0.330204,-0.030191
-0.328678,-0.030288
-0.333017,-0.030483
-0.336349,-0.030583
-0.328535,-0.030586
-0.340319,-0.030663
-0.336969,-0.030691
-0.328422,-0.030787
-0.337362,-0.03084
-0.339073,-0.030871
-0.331575,-0.030838
-0.340986,-0.031067
-0.342101,-0.031097
-0.337988,-0.031109
-0.347602,-0.031201
-0.347614,-0.031365
-0.33946,-0.031391
-0.35041,-0.031557
-0.35134,-0.031659
-0.347811,-0.031577
-0.362289,-0.031969
-0.360113,-0.032202
-0.3555,-0.03225
-0.367808,-0.03241
-0.364184,-0.032464
-0.355893,-0.032342
-0.368321,-0.032437
-0.366211,-0.032499
-0.35947,-0.032558
-0.372863,-0.032807
-0.368059,-0.032817
-0.368297,-0.032819
-0.377649,-0.033028
-0.376529,-0.03313
-0.376207,-0.033262
-0.386441,-0.033464
-0.381398,-0.033508
-0.381833,-0.033471
-0.390166,-0.033823
-0.383699,-0.033812
-0.384915,-0.033866
-0.391072,-0.034005
-0.382674,-0.033982
-0.387627,-0.034081
-0.392848,-0.034259
-0.388604,-0.03419
-0.39292,-0.034259
-0.398433,-0.034445
-0.393897,-0.034406
-0.39615,-0.034496
-0.406504,-0.034822
-0.399715,-0.034733
-0.404596,-0.03494
-0.413644,-0.035028
-0.405353,-0.03513
-0.41045,-0.035224
-0.419176,-0.035434
-0.4143,-0.035468
-0.41225,-0.035524
-0.4197,-0.035698
-0.409728,-0.035603
-0.413823,-0.035617
-0.417936,-0.03591
-0.41132,-0.035737
-0.418746,-0.035732
-0.426191,-0.036123
-0.41967,-0.036
-0.425065,-0.036119
-0.430626,-0.03619
-0.418216,-0.036067
-0.431025,-0.036316
-0.432169,-0.036472
-0.428104,-0.036465
-0.437844,-0.036727
-0.437391,-0.036826
-0.43444,-0.036712
-0.442749,-0.036981
-0.444818,-0.037022
-0.436509,-0.037119
-0.444716,-0.037298
-0.446463,-0.037288
-0.440973,-0.037285
-0.4502,-0.037345
-0.45312,-0.037681
-0.44955,-0.037633
-0.459254,-0.03774
-0.462878,-0.038113
-0.458074,-0.038143
-0.469232,-0.038381
-0.465977,-0.038369
-0.458276,-0.038183
-0.466901,-0.038393
-0.465429,-0.038497
-0.461918,-0.038428
-0.472367,-0.038615
-0.471765,-0.038798
-0.465178,-0.03857
-0.474471,-0.038908
-0.475091,-0.038861
-0.473279,-0.038984
-0.482494,-0.039261
-0.480437,-0.039322
-0.478858,-0.039326
-0.490427,-0.039587
-0.488377,-0.039703
-0.485671,-0.0397
-0.491261,-0.039761
-0.487262,-0.039897
-0.484633,-0.039885
-0.496554,-0.040164
-0.493222,-0.040026
-0.492251,-0.040132
-0.503081,-0.04029
-0.499207,-0.040453
-0.499535,-0.040557
-0.506777,-0.040774
-0.501555,-0.04074
-0.502586,-0.040823
-0.510329,-0.04087
-0.502551,-0.040834
-0.502598,-0.040795
-0.510317,-0.040993
-0.500602,-0.040966
-0.506127,-0.040971
-0.50953,-0.041139
-0.504488,-0.041027
-0.50844,-0.041051
-0.513691,-0.041234
-0.512207,-0.041454
-0.517732,-0.041487
-0.525922,-0.041775
-0.520837,-0.041908
-0.527215,-0.041989
-0.535768,-0.042251
-0.527281,-0.04224
-0.53038,-0.042335
-0.53823,-0.042378
-0.528723,-0.042433
-0.532413,-0.042523
-0.536495,-0.04255
-0.531644,-0.042471
-0.539982,-0.042595
-0.542325,-0.042855
-0.537914,-0.042897
-0.545627,-0.042988
-0.54996,-0.043121
-0.542337,-0.043261
-0.548184,-0.043245
-0.551873,-0.043418
-0.547028,-0.043423
-0.557446,-0.043579
-0.558448,-0.043712
-0.555289,-0.043775
-0.564432,-0.043914
-0.564927,-0.044032
-0.560057,-0.044148
-0.566387,-0.044322
-0.565219,-0.044241
-0.562513,-0.044142
-0.567973,-0.044435
-0.570953,-0.044424
-0.561082,-0.044379
-0.57317,-0.044464
-0.574714,-0.044584
-0.570679,-0.044674
-0.581849,-0.04492
-0.579113,-0.04488
-0.576013,-0.044917
-0.58549,-0.04527
-0.586581,-0.045284
-0.58735,-0.045461
-0.597727,-0.045679
-0.593936,-0.045776
-0.585741,-0.045729
-0.596213,-0.045925
-0.591052,-0.045787
-0.587541,-0.045823
-0.600415,-0.0459
-0.594914,-0.045907
-0.595486,-0.045982
-0.606531,-0.04619
-0.599885,-0.046185
-0.597703,-0.046061
-0.6051,-0.046242
-0.598443,-0.046236
-0.600111,-0.046308
-0.614309,-0.046513
-0.609499,-0.046535
-0.615239,-0.046612
-0.623852,-0.047107
-0.621969,-0.04707
-0.62291,-0.047408
-0.630635,-0.047518
-0.629395,-0.047675
-0.63296,-0.047793
-0.636792,-0.047829
-0.629264,-0.047884
-0.631064,-0.047873
-0.635839,-0.047939
-0.630689,-0.047887
-0.635487,-0.048076
-0.642902,-0.048216
-0.632095,-0.048071
-0.635946,-0.048162
-0.642544,-0.048186
-0.63554,-0.048173
-0.639838,-0.048334
-0.647986,-0.048494
-0.642759,-0.048416
-0.652832,-0.048592
-0.652742,-0.04879
-0.647646,-0.048717
-0.653738,-0.048883
-0.656533,-0.048815
-0.652039,-0.048953
-0.65608,-0.049001
-0.658536,-0.049258
-0.657833,-0.049144
-0.664759,-0.049338
-0.670743,-0.049655
-0.66492,-0.049639
-0.673741,-0.049764
-0.673658,-0.049858
-0.66784,-0.049865
-0.67867,-0.050045
-0.675482,-0.050267
-0.671321,-0.050139
-0.682563,-0.050284
-0.682867,-0.050444
-0.674862,-0.050266
-0.684077,-0.050372
-0.682992,-0.05051
-0.678283,-0.050423
-0.690985,-0.050652
-0.687152,-0.050651
-0.681686,-0.050511
-0.691479,-0.050687
-0.689197,-0.050919
-0.689185,-0.050878
-0.700802,-0.05114
-0.700718,-0.051179
-0.695294,-0.051184
-0.708705,-0.051421
-0.705498,-0.05156
-0.706053,-0.051668
-0.712115,-0.05182
-0.706512,-0.051851
-0.704038,-0.051928
-0.7182,-0.051983
-0.713605,-0.052106
-0.716597,-0.052088
-0.722289,-0.052368
-0.718623,-0.052383
-0.722116,-0.052404
-0.729901,-0.052596
-0.722533,-0.052594
-0.728232,-0.052846
-0.734615,-0.052908
-0.727195,-0.052912
-0.730461,-0.053035
-0.741529,-0.053076
-0.733221,-0.053067
-0.736082,-0.053137
-0.739431,-0.05331
-0.735575,-0.053187
-0.740308,-0.053415
-0.749654,-0.053596
-0.745243,-0.053718
-0.753075,-0.053694
-0.757569,-0.053984
-0.749356,-0.053949
-0.751269,-0.053995
-0.759113,-0.054067
-0.752449,-0.054085
-0.760448,-0.054241
-0.765067,-0.054428
-0.760847,-0.054523
-0.76896,-0.054726
-0.773954,-0.054839
-0.766253,-0.054765
-0.772047,-0.054828
-0.774193,-0.054982
-0.768626,-0.054963
-0.77436,-0.055128
-0.777775,-0.055082
-0.770563,-0.055057
-0.781208,-0.055124
-0.78311,-0.055336
-0.777018,-0.055421
-0.787079,-0.055602
-0.790685,-0.055581
-0.784838,-0.055759
-0.793612,-0.055938
-0.792265,-0.055932
-0.790364,-0.055879
-0.797784,-0.056068
-0.796437,-0.056119
-0.79025,-0.056146
-0.799769,-0.056273
-0.80269,-0.056383
-0.800133,-0.056331
-0.817841,-0.056719
-0.813019,-0.05676
-0.809544,-0.056914
-0.815898,-0.057054
-0.814128,-0.056971
-0.810295,-0.05703
-0.821888,-0.057153
-0.819242,-0.057244
-0.81768,-0.057241
-0.830346,-0.057474
-0.827229,-0.057468
-0.82711,-0.057667
-0.835204,-0.057823
-0.830966,-0.057932
-0.83015,-0.057912
-0.836557,-0.058014
-0.832492,-0.058084
-0.830251,-0.058091
-0.841594,-0.0581
-0.831121,-0.058105
-0.831383,-0.05806
-0.838399,-0.058182
-0.830543,-0.058208
-0.840199,-0.058258
-0.844115,-0.058336
-0.836593,-0.058287
-0.839841,-0.058431
-0.852323,-0.058651
-0.846535,-0.058635
-0.853264,-0.058733
-0.858974,-0.059061
-0.855178,-0.058978
-0.856394,-0.059077
-0.865328,-0.059348
-0.858402,-0.059336
-0.870222,-0.059476
-0.873095,-0.059648
-0.86748,-0.059588
-0.872195,-0.05974
-0.877053,-0.0599
-0.866091,-0.059841
-0.876349,-0.059966
-0.877744,-0.060022
-0.867581,-0.059768
-0.872415,-0.060096
-0.875914,-0.060176
-0.874776,-0.060057
-0.885302,-0.060257
-0.891852,-0.060537
-0.88492,-0.060594
-0.899881,-0.06086
-0.904071,-0.061181
-0.895643,-0.061097
-0.903881,-0.061293
-0.904655,-0.061345
-0.897384,-0.061507
-0.90521,-0.061422
-0.904602,-0.061683
-0.898874,-0.061558
-0.911778,-0.061636
-0.912666,-0.061726
-0.908649,-0.061692
-0.917006,-0.061914
-0.915885,-0.062002
-0.915468,-0.062032
-0.922137,-0.062056
-0.920337,-0.062204
-0.914866,-0.062116
-0.925589,-0.06234
-0.925702,-0.062502
-0.918728,-0.062401
-0.926715,-0.062507
-0.925702,-0.062556
-0.92445,-0.062468
-0.936866,-0.062787
-0.938916,-0.062955
-0.939852,-0.063083
-0.950265,-0.063364
-0.947142,-0.063434
-0.944799,-0.063449
-0.952452,-0.063655
-0.94825,-0.063569
-0.943345,-0.063513
-0.954437,-0.06374
-0.950652,-0.063761
-0.948662,-0.063809
-0.965327,-0.063939
-0.959188,-0.064095
-0.959748,-0.064191
-0.964028,-0.064283
-0.961572,-0.064271
-0.960737,-0.064239
-0.970942,-0.064562
-0.964451,-0.064518
-0.967413,-0.064656
-0.974315,-0.064731
-0.96463,-0.064729
-0.970101,-0.064658
-0.981206,-0.064976
-0.972706,-0.0649
-0.978386,-0.064947
-0.987458,-0.065141
-0.982732,-0.065285
-0.987947,-0.065436
-0.993574,-0.065546
-0.987846,-0.065652
-0.99383,-0.065665
-1.003242,-0.065993
-0.99479,-0.066024
-1.003313,-0.066008
-1.00888,-0.066268
-0.997758,-0.066202
-1.005155,-0.066286
-1.007986,-0.066303
-0.996238,-0.066337
-1.009321,-0.066442
-1.015121,-0.066623
-1.011252,-0.066614
-1.019573,-0.066889
-1.019919,-0.066804
-1.013482,-0.066834
-1.022005,-0.066861
-1.021832,-0.067004
-1.016742,-0.066968
-1.025486,-0.067098
-1.029438,-0.067327
-1.023495,-0.067383
-1.038933,-0.067596
-1.038933,-0.067771
-1.034874,-0.067725
-1.045525,-0.067919
-1.043814,-0.068022
-1.041871,-0.068022
-1.048738,-0.068153
-1.047438,-0.06829
-1.045442,-0.068268
-1.055962,-0.06843
-1.057345,-0.068562
-1.050013,-0.068547
-1.057184,-0.068665
-1.055616,-0.06874
-1.052725,-0.068626
-1.06253,-0.068852
-1.059502,-0.068816
-1.055992,-0.068876
-1.067376,-0.068982
-1.068497,-0.069165
-1.066118,-0.069143
-1.073068,-0.069344
-1.075739,-0.06946
-1.072675,-0.069487
-1.084626,-0.069747
-1.084024,-0.069892
-1.080382,-0.069802
-1.087707,-0.070095
-1.080644,-0.070005
-1.078939,-0.069886
-1.084685,-0.070159
-1.077813,-0.070007
-1.077461,-0.070076
-1.088327,-0.070158
-1.084054,-0.070115
-1.086831,-0.070163
-1.092249,-0.070408
-1.092756,-0.070331
-1.091957,-0.070461
-1.103801,-0.070592
-1.098424,-0.070746
-1.102012,-0.070755
-1.112354,-0.070894
-1.105082,-0.070993
-1.109987,-0.071054
-1.11624,-0.071375
-1.110369,-0.071332
-1.112854,-0.071378
-1.119286,-0.071574
-1.112604,-0.071634
-1.119238,-0.071741
-1.120162,-0.071802
-1.116055,-0.071732
-1.121604,-0.07174
-1.13253,-0.072127
-1.127392,-0.07214
-1.134074,-0.072217
-1.14367,-0.072408
-1.13613,-0.072605
-1.141894,-0.072593
-1.145786,-0.072767
-1.136172,-0.072745
-1.144111,-0.072812
-1.145285,-0.072951
-1.138598,-0.072957
-1.144719,-0.073031
-1.147527,-0.072988
-1.136982,-0.073026
-1.147515,-0.07313
-1.145381,-0.073109
-1.145393,-0.073165
-1.157045,-0.073347
-1.158416,-0.073501
-1.15965,-0.0735
-1.169097,-0.073887
-1.174182,-0.073941
-1.164347,-0.073906
-1.16995,-0.074151
-1.169115,-0.074174
-1.166701,-0.07409
-1.176822,-0.074162
-1.175898,-0.07436
-1.172131,-0.074273
-1.183552,-0.074572
-1.183408,-0.074608
-1.181287,-0.074593
-1.186669,-0.074833
-1.184249,-0.074924
-1.180828,-0.074783
-1.192945,-0.075058
-1.189244,-0.075022
-1.1868,-0.075046
-1.195681,-0.075247
-1.187909,-0.075086
-1.189482,-0.075168
-1.198334,-0.075271
-1.191247,-0.075346
-1.1926,-0.075296
-1.202404,-0.075516
-1.202869,-0.075595
-1.20157,-0.075639
-1.216286,-0.075802
-1.211178,-0.075906
-1.210225,-0.076011
-1.21693,-0.076115
-1.208788,-0.076112
-1.212782,-0.076249
-1.219088,-0.076288
-1.213318,-0.076284
-1.22174,-0.076367
-1.227707,-0.076485
-1.221341,-0.076513
-1.22835,-0.076691
-1.235253,-0.07685
-1.227909,-0.076927
-1.232809,-0.077044
-1.237923,-0.07718
-1.229489,-0.07712
-1.233828,-0.077125
-1.237112,-0.077318
-1.233912,-0.077264
-1.236433,-0.077322
-1.246488,-0.077413
-1.242656,-0.077438
-1.254213,-0.077715
-1.258582,-0.077978
-1.254719,-0.077997
-1.258874,-0.077981
-1.260811,-0.078179
-1.255608,-0.078263
-1.267445,-0.078396
-1.269114,-0.078569
-1.262629,-0.078491
-1.267517,-0.078483
-1.269412,-0.078726
-1.263094,-0.078678
-1.27058,-0.078675
-1.274604,-0.078921
-1.26937,-0.078717
-1.277143,-0.078976
-1.277709,-0.078972
-1.266807,-0.078841
-1.277304,-0.079112
-1.277703,-0.079199
-1.275557,-0.079054
-1.286173,-0.079261
-1.291466,-0.079392
-1.290619,-0.079495
-1.302671,-0.079676
-1.29711,-0.079916
-1.294112,-0.079919
-1.302481,-0.080037
-1.301539,-0.080006
-1.298261,-0.080111
-1.307762,-0.080284
-1.306599,-0.080434
-1.304823,-0.080482
-1.31529,-0.080449
-1.31554,-0.080587
-1.31104,-0.080599
-1.318014,-0.080664
-1.314062,-0.080739
-1.312119,-0.080794
-1.321006,-0.08092
-1.316309,-0.080942
-1.314139,-0.080974
-1.323986,-0.081173
-1.319265,-0.081101
-1.325077,-0.081132
-1.34114,-0.081418
-1.336229,-0.081604
-1.338673,-0.081617
-1.349914,-0.081972
-1.345927,-0.082071
-1.34865,-0.082137
-1.357692,-0.082405
-1.350397,-0.082416
-1.351869,-0.08235
-1.358157,-0.082549
-1.353204,-0.082651
-1.357991,-0.082716
-1.362377,-0.082902
-1.356387,-0.082796
-1.358747,-0.082734
-1.36286,-0.082873
-1.359504,-0.082822
-1.362127,-0.082987
-1.371807,-0.083119
-1.369232,-0.083118
-1.375121,-0.083306
-1.384676,-0.083439
-1.375806,-0.083514
-1.385695,-0.083752
-1.389605,-0.08385
-1.3879,-0.083885
-1.38858,-0.083949
-1.394135,-0.084253
-1.388144,-0.08413
-1.39755,-0.084222
-1.399654,-0.084413
-1.392555,-0.084373
-1.396304,-0.084414
-1.397586,-0.084493
-1.390624,-0.084351
-1.39761,-0.084463
-1.401556,-0.084652
-1.399386,-0.084634
-1.408738,-0.084876
-1.41409,-0.085043
-1.411289,-0.085076
-1.420951,-0.085224
-1.418495,-0.085267
-1.41843,-0.085308
-1.423579,-0.085315
-1.423061,-0.085573
-1.419759,-0.085474
-1.435649,-0.085704
-1.435518,-0.0859
-1.434547,-0.08602
-1.445293,-0.0862
-1.442778,-0.086249
-1.439965,-0.08626
-1.445675,-0.086458
-1.441497,-0.086551
-1.43851,-0.086409
-1.447868,-0.086549
-1.444858,-0.086638
-1.443654,-0.086655
-1.453704,-0.086735
-1.450449,-0.086851
-1.447421,-0.086928
-1.456058,-0.087026
-1.451582,-0.086997
-1.457441,-0.087053
-1.46898,-0.087356
-1.465052,-0.087379
-1.473552,-0.08745
-1.478261,-0.087693
-1.473999,-0.087791
-1.479644,-0.087842
-1.490742,-0.088108
-1.484931,-0.088248
-1.490229,-0.088273
-1.49461,-0.088479
-1.483238,-0.088529
-1.483715,-0.088414
-1.489109,-0.088531
-1.47953,-0.088497
-1.485342,-0.08856
-1.492506,-0.088675
-1.480597,-0.088627
-1.491529,-0.088751
-1.495916,-0.088826
-1.491231,-0.088752
-1.502454,-0.08902
-1.510394,-0.089198
-1.508957,-0.089135
-1.520151,-0.089464
-1.526165,-0.089579
-1.516163,-0.089629
-1.525664,-0.089819
-1.523799,-0.089943
-1.51546,-0.089689
-1.522481,-0.090005
-1.524603,-0.090043
-1.517665,-0.089925
-1.523405,-0.090049
-1.52266,-0.090063
-1.518357,-0.090024
-1.533574,-0.090202
-1.53721,-0.090429
-1.534081,-0.090382
-1.545686,-0.090579
-1.546121,-0.090693
-1.541638,-0.090713
-1.553339,-0.090962
-1.551718,-0.091046
-1.552945,-0.091132
-1.563251,-0.09137
-1.561826,-0.091477
-1.555741,-0.091482
-1.570052,-0.09182
-1.569551,-0.091794
-1.569635,-0.091819
-1.576185,-0.092022
-1.5688,-0.09198
-1.566309,-0.091977
-1.576626,-0.09218
-1.568717,-0.092225
-1.57057,-0.0921
-1.577222,-0.092391
-1.579201,-0.092276
-1.576883,-0.092359
-1.58509,-0.092538
-1.580095,-0.092462
-1.580602,-0.092567
-1.590395,-0.092694
-1.587564,-0.092713
-1.587886,-0.092768
-1.60206,-0.093009
-1.601553,-0.093142
-1.603669,-0.093301
-1.609105,-0.093585
-1.600122,-0.093554
-1.606125,-0.093603
-1.612914,-0.09367
-1.604593,-0.093467
-1.608056,-0.093696
-1.613021,-0.093836
-1.610464,-0.093755
-1.613641,-0.093908
-1.622254,-0.094026
-1.616341,-0.094128
-1.627934,-0.094231
-1.636279,-0.094333
-1.627636,-0.094545
-1.630098,-0.094499
-1.631027,-0.094739
