LOAD kn,STRAIN1 mm
-0.000936,-0.001998
-0.008017,-0.001939
-0.002217,-0.001822
-0.001258,-0.001717
-0.008041,-0.001787
-0.006843,-0.00182
0.00236,-0.001615
-0.003535,-0.001724
-0.007701,-0.001814
-0.000978,-0.001667
0.000978,-0.001788
-0.006056,-0.00176
-0.003088,-0.00182
-0.001198,-0.001958
-0.004953,-0.002055
-0.007302,-0.00194
0.002062,-0.001976
-0.001305,-0.002063
-0.008357,-0.002332
-0.003356,-0.002204
-0.000554,-0.002164
-0.010246,-0.002244
-0.004327,-0.002262
0.001526,-0.002252
-0.006282,-0.002375
-0.00847,-0.002593
0.001216,-0.002564
-0.001353,-0.002769
-0.008368,-0.002815
-0.004303,-0.002949
0.002432,-0.002822
-0.005704,-0.003087
-0.009787,-0.003022
-0.002271,-0.002938
-0.002199,-0.003129
-0.009769,-0.003209
-0.001049,-0.003151
-0.004226,-0.003141
-0.006372,-0.003438
-0.005174,-0.003534
0.000525,-0.003487
-0.006068,-0.003681
-0.008065,-0.003797
0.000477,-0.003885
0.000465,-0.003814
-0.007391,-0.003893
-0.002021,-0.003845
-0.000817,-0.003748
-0.003648,-0.003984
-0.00686,-0.003835
0.00205,-0.003886
0.000298,-0.003965
-0.00664,-0.004198
-0.00177,-0.004221
-0.000894,-0.0044
-0.00391,-0.004693
-0.006688,-0.004766
0.002241,-0.004645
-0.003034,-0.004898
-0.007045,-0.004843
-0.000376,-0.004832
-0.005054,-0.004847
-0.009793,-0.005065
-0.003701,-0.004963
-0.000858,-0.004745
-0.005496,-0.004993
-0.007284,-0.005114
0.001454,-0.005106
-0.000268,-0.00526
-0.011104,-0.00534
-0.000566,-0.005295
0.000024,-0.005421
-0.004596,-0.005517
-0.006396,-0.00557
0.002921,-0.005584
-0.004077,-0.00575
-0.008529,-0.005731
0.00037,-0.005791
0.000632,-0.005873
-0.008094,-0.00604
-0.004232,-0.005994
0.003374,-0.006097
-0.007123,-0.006309
-0.006008,-0.006268
0.000429,-0.006153
0.001037,-0.006326
-0.007498,-0.006542
-0.000936,-0.006552
-0.000316,-0.006636
-0.006813,-0.006919
-0.005472,-0.007078
0.001025,-0.007078
-0.005889,-0.007468
-0.007665,-0.007382
-0.000042,-0.007476
0.00428,-0.007522
-0.009304,-0.007639
-0.002527,-0.007606
0.000811,-0.007695
-0.005788,-0.007907
-0.005084,-0.00812
0.000095,-0.008345
-0.002611,-0.008515
-0.007027,-0.008648
0.000477,-0.00869
-0.000888,-0.008783
-0.008035,-0.009103
-0.005001,-0.009013
0.00155,-0.009183
-0.005293,-0.009693
-0.005537,-0.009815
0.002432,-0.009869
-0.001425,-0.00998
-0.007105,-0.010021
-0.00422,-0.009912
0.001407,-0.010096
-0.007659,-0.010036
-0.008935,-0.010251
0.000072,-0.010034
0.00062,-0.010354
-0.00928,-0.010398
-0.002605,-0.010413
0.001228,-0.010659
-0.008088,-0.01083
-0.005096,-0.010876
0.00093,-0.010921
-0.002557,-0.011092
-0.006145,-0.011315
0.001097,-0.011518
0.002813,-0.011789
-0.008434,-0.011813
-0.002629,-0.01176
0.002313,-0.011741
-0.004417,-0.011933
-0.006425,-0.011938
0.002217,-0.011805
-0.001842,-0.011938
-0.007683,-0.011984
-0.003117,-0.011868
0.000262,-0.011952
-0.006741,-0.012268
-0.003183,-0.012356
0.002313,-0.012321
-0.002694,-0.012648
-0.007105,-0.0129
-0.000399,-0.013041
-0.001001,-0.013464
-0.007415,-0.013656
-0.003731,-0.013612
0.002146,-0.013632
-0.004816,-0.013581
-0.006968,-0.013733
0.002599,-0.013575
-0.005269,-0.013701
-0.008404,-0.013713
0.001025,-0.013594
0.002253,-0.013771
-0.006425,-0.013922
-0.004214,-0.013929
0.002062,-0.013987
-0.002861,-0.014408
-0.007749,-0.014866
0.000548,-0.01502
-0.001746,-0.015354
-0.008303,-0.015709
-0.005472,-0.015728
0.000095,-0.015695
-0.007355,-0.016024
-0.007117,-0.015978
0.000048,-0.015937
-0.004947,-0.015883
-0.009024,-0.01614
-0.000787,-0.016049
-0.000417,-0.016041
-0.007606,-0.016097
-0.003648,-0.016132
-0.001276,-0.016151
-0.00298,-0.016388
-0.007957,-0.016573
-0.000829,-0.016506
-0.00174,-0.016783
-0.009602,-0.017002
-0.002956,-0.01704
-0.001395,-0.017075
-0.005913,-0.017325
-0.007433,-0.017532
0.000131,-0.01754
-0.004601,-0.017728
-0.009912,-0.017942
-0.001413,-0.017978
-0.002742,-0.018121
-0.010145,-0.018441
-0.005513,-0.018469
0.000024,-0.018562
-0.008094,-0.018806
-0.007546,-0.018865
-0.000155,-0.018923
-0.002396,-0.018954
-0.009793,-0.019163
-0.004017,-0.019052
-0.000262,-0.01908
-0.009394,-0.019229
-0.006837,-0.019321
0.00056,-0.019131
-0.004578,-0.019288
-0.009793,-0.019398
-0.002831,-0.01921
-0.000113,-0.019383
-0.013644,-0.019573
-0.005364,-0.019704
-0.003088,-0.019676
-0.008094,-0.020007
-0.008225,-0.020177
-0.004041,-0.020426
-0.005537,-0.020765
-0.010556,-0.02108
-0.005829,-0.021146
-0.003147,-0.021183
-0.010329,-0.021268
-0.009543,-0.021226
-0.002027,-0.02107
-0.00416,-0.021122
-0.012225,-0.021091
-0.001919,-0.021083
-0.004733,-0.021266
-0.01297,-0.021388
-0.006026,-0.021447
-0.003654,-0.021425
-0.009269,-0.021681
-0.01179,-0.021805
-0.006211,-0.02186
-0.005013,-0.022014
-0.013435,-0.022211
-0.005406,-0.022211
-0.004804,-0.022323
-0.01024,-0.022618
-0.010139,-0.022587
-0.004894,-0.022655
-0.0081,-0.022966
-0.017571,-0.023124
-0.006503,-0.02309
-0.007707,-0.023245
-0.01632,-0.023592
