POSN mm ,LOAD kn,STRAIN1 mm,STRESS(MPA),TIME(sec)
-54.192443,-0.000936,-0.001998,-0.011915,0
-54.193374,-0.008017,-0.001939,-0.102073,0.01
-54.19346,-0.002217,-0.001822,-0.028231,0.02
-54.193465,-0.001258,-0.001717,-0.016013,0.03
-54.193129,-0.008041,-0.001787,-0.102377,0.04
-54.195077,-0.006843,-0.00182,-0.087123,0.05
-54.191594,0.00236,-0.001615,0.030053,0.06
-54.192425,-0.003535,-0.001724,-0.045003,0.07
-54.193974,-0.007701,-0.001814,-0.098051,0.08
-54.193483,-0.000978,-0.001667,-0.012446,0.09
-54.193429,0.000978,-0.001788,0.012446,0.1
-54.192511,-0.006056,-0.00176,-0.077105,0.11
-54.193787,-0.003088,-0.00182,-0.039312,0.12
-54.192815,-0.001198,-0.001958,-0.015254,0.13
-54.192643,-0.004953,-0.002055,-0.063065,0.14
-54.193905,-0.007302,-0.00194,-0.092966,0.15
-54.194078,0.002062,-0.001976,0.026258,0.16
-54.19213,-0.001305,-0.002063,-0.01662,0.17
-54.194083,-0.008357,-0.002332,-0.106399,0.18
-54.19515,-0.003356,-0.002204,-0.042727,0.19
-54.194464,-0.000554,-0.002164,-0.007058,0.2
-54.195309,-0.010246,-0.002244,-0.130457,0.21
-54.194073,-0.004327,-0.002262,-0.055097,0.22
-54.194182,0.001526,-0.002252,0.019428,0.23
-54.192752,-0.006282,-0.002375,-0.079989,0.24
-54.194478,-0.00847,-0.002593,-0.107841,0.25
-54.194855,0.001216,-0.002564,0.015482,0.26
-54.192693,-0.001353,-0.002769,-0.017227,0.27
-54.19589,-0.008368,-0.002815,-0.106551,0.28
-54.196671,-0.004303,-0.002949,-0.054793,0.29
-54.193647,0.002432,-0.002822,0.030964,0.3
-54.196685,-0.005704,-0.003087,-0.072628,0.31
-54.196122,-0.009787,-0.003022,-0.124613,0.32
-54.193074,-0.002271,-0.002938,-0.028914,0.33
-54.193955,-0.002199,-0.003129,-0.028004,0.34
-54.195009,-0.009769,-0.003209,-0.124385,0.35
-54.195086,-0.001049,-0.003151,-0.013357,0.36
-54.194855,-0.004226,-0.003141,-0.053807,0.37
-54.195958,-0.006372,-0.003438,-0.081127,0.38
-54.198002,-0.005174,-0.003534,-0.065873,0.39
-54.194537,0.000525,-0.003487,0.006678,0.4
-54.195668,-0.006068,-0.003681,-0.077257,0.41
-54.19678,-0.008065,-0.003797,-0.102681,0.42
-54.196276,0.000477,-0.003885,0.006071,0.43
-54.195727,0.000465,-0.003814,0.005919,0.44
-54.196694,-0.007391,-0.003893,-0.094105,0.45
-54.196871,-0.002021,-0.003845,-0.025727,0.46
-54.197171,-0.000817,-0.003748,-0.010397,0.47
-54.195391,-0.003648,-0.003984,-0.046445,0.48
-54.197285,-0.00686,-0.003835,-0.087351,0.49
-54.197289,0.00205,-0.003886,0.026107,0.5
-54.195332,0.000298,-0.003965,0.003795,0.51
-54.198597,-0.00664,-0.004198,-0.084543,0.52
-54.197852,-0.00177,-0.004221,-0.02254,0.53
-54.195745,-0.000894,-0.0044,-0.011384,0.54
-54.197489,-0.00391,-0.004693,-0.049784,0.55
-54.199619,-0.006688,-0.004766,-0.08515,0.56
-54.196658,0.002241,-0.004645,0.028535,0.57
-54.197493,-0.003034,-0.004898,-0.038629,0.58
-54.19842,-0.007045,-0.004843,-0.089703,0.59
-54.197285,-0.000376,-0.004832,-0.004781,0.6
-54.197126,-0.005054,-0.004847,-0.064356,0.61
-54.19882,-0.009793,-0.005065,-0.124689,0.62
-54.199297,-0.003701,-0.004963,-0.047128,0.63
-54.196176,-0.000858,-0.004745,-0.010928,0.64
-54.198779,-0.005496,-0.004993,-0.069971,0.65
-54.199605,-0.007284,-0.005114,-0.092739,0.66
-54.199946,0.001454,-0.005106,0.018517,0.67
-54.198375,-0.000268,-0.00526,-0.003415,0.68
-54.200836,-0.011104,-0.00534,-0.141385,0.69
-54.198761,-0.000566,-0.005295,-0.00721,0.7
-54.198107,0.000024,-0.005421,0.000304,0.71
-54.199919,-0.004596,-0.005517,-0.058512,0.72
-54.200805,-0.006396,-0.00557,-0.081431,0.73
-54.19897,0.002921,-0.005584,0.037187,0.74
-54.198293,-0.004077,-0.00575,-0.051909,0.75
-54.200686,-0.008529,-0.005731,-0.1086,0.76
-54.200391,0.00037,-0.005791,0.004705,0.77
-54.19812,0.000632,-0.005873,0.008044,0.78
-54.198674,-0.008094,-0.00604,-0.10306,0.79
-54.200641,-0.004232,-0.005994,-0.053883,0.8
-54.198911,0.003374,-0.006097,0.042954,0.81
-54.200037,-0.007123,-0.006309,-0.09069,0.82
-54.202535,-0.006008,-0.006268,-0.076498,0.83
-54.200859,0.000429,-0.006153,0.005464,0.84
-54.199737,0.001037,-0.006326,0.013205,0.85
-54.200305,-0.007498,-0.006542,-0.095471,0.86
-54.199251,-0.000936,-0.006552,-0.011915,0.87
-54.200455,-0.000316,-0.006636,-0.004022,0.88
-54.201776,-0.006813,-0.006919,-0.086743,0.89
-54.201922,-0.005472,-0.007078,-0.069668,0.9
-54.199619,0.001025,-0.007078,0.013053,0.91
-54.20135,-0.005889,-0.007468,-0.07498,0.92
-54.202344,-0.007665,-0.007382,-0.097596,0.93
-54.202235,-0.000042,-0.007476,-0.000531,0.94
-54.200768,0.00428,-0.007522,0.05449,0.95
-54.201363,-0.009304,-0.007639,-0.118466,0.96
-54.201985,-0.002527,-0.007606,-0.032178,0.97
-54.202444,0.000811,-0.007695,0.010321,0.98
-54.200655,-0.005788,-0.007907,-0.07369,0.99
-54.201704,-0.005084,-0.00812,-0.064735,1
-54.201713,0.000095,-0.008345,0.001214,1.01
-54.20214,-0.002611,-0.008515,-0.03324,1.02
-54.203057,-0.007027,-0.008648,-0.089475,1.03
-54.202203,0.000477,-0.00869,0.006071,1.04
-54.20268,-0.000888,-0.008783,-0.011308,1.05
-54.202499,-0.008035,-0.009103,-0.102301,1.06
-54.202748,-0.005001,-0.009013,-0.063673,1.07
-54.202671,0.00155,-0.009183,0.019732,1.08
-54.20254,-0.005293,-0.009693,-0.067391,1.09
-54.204806,-0.005537,-0.009815,-0.070503,1.1
-54.203402,0.002432,-0.009869,0.030964,1.11
-54.203066,-0.001425,-0.00998,-0.018138,1.12
