POSN mm ,LOAD kn,STRAIN1 mm,STRESS(MPA),TIME(sec)
-54.272871,-0.004822,0.00655,-0.061396,0
-54.270759,-0.006229,0.006447,-0.079306,0.01
-54.270009,0.004077,0.006362,0.051909,0.02
-54.274896,-0.006694,0.006044,-0.085226,0.03
-54.272044,-0.001794,0.005862,-0.022843,0.04
-54.272594,-0.002933,0.005845,-0.037338,0.05
-54.273679,-0.007182,0.005561,-0.091449,0.06
-54.272571,0.001657,0.005668,0.021098,0.07
-54.273738,-0.006336,0.005587,-0.080672,0.08
-54.270899,-0.005054,0.005435,-0.064356,0.09
-54.272398,0.00304,0.005304,0.038704,0.1
-54.275873,-0.005651,0.005181,-0.071945,0.11
-54.271594,-0.002289,0.005266,-0.029142,0.12
-54.274247,-0.001019,0.005265,-0.012977,0.13
-54.272498,-0.009876,0.005101,-0.125751,0.14
-54.273797,-0.000519,0.005123,-0.006603,0.15
-54.274565,-0.004333,0.004979,-0.055173,0.16
-54.274329,-0.004798,0.005085,-0.061092,0.17
-54.273248,0.005019,0.005066,0.0639,0.18
-54.275737,-0.002688,0.005042,-0.034227,0.19
-54.274029,-0.003111,0.004977,-0.039615,0.2
-54.274401,-0.000322,0.004874,-0.004098,0.21
-54.273534,-0.006682,0.004731,-0.085074,0.22
-54.273375,-0.000066,0.004855,-0.000835,0.23
-54.275487,-0.002789,0.004739,-0.035517,0.24
-54.274478,-0.006926,0.004755,-0.088185,0.25
-54.273783,0.00056,0.00475,0.007134,0.26
-54.276718,-0.005841,0.004612,-0.074373,0.27
-54.274097,-0.00236,0.004602,-0.030053,0.28
-54.275537,0.000858,0.004609,0.010928,0.29
-54.275355,-0.009298,0.004436,-0.11839,0.3
-54.273388,0.000048,0.004496,0.000607,0.31
-54.276154,0.002408,0.00447,0.03066,0.32
-54.277208,-0.006682,0.004386,-0.085074,0.33
-54.27486,0.001025,0.004457,0.013053,0.34
-54.275459,-0.00217,0.004207,-0.027624,0.35
-54.274537,0.00056,0.004423,0.007134,0.36
-54.274156,0.002265,0.00435,0.028839,0.37
-54.276359,-0.008327,0.004236,-0.10602,0.38
-54.273706,-0.000006,0.004269,-0.000076,0.39
-54.275123,-0.00183,0.004332,-0.023299,0.4
-54.275432,-0.008625,0.004153,-0.109814,0.41
-54.272948,0.002301,0.004105,0.029294,0.42
-54.27461,-0.004679,0.003929,-0.059574,0.43
-54.276681,-0.001878,0.00388,-0.023906,0.44
-54.273956,0.000036,0.003888,0.000455,0.45
-54.277499,-0.007224,0.003757,-0.09198,0.46
-54.274556,-0.001621,0.003779,-0.020642,0.47
-54.277412,-0.002503,0.003738,-0.031874,0.48
-54.275973,-0.008029,0.00357,-0.102225,0.49
-54.276677,0.001574,0.003562,0.020035,0.5
-54.277531,-0.004822,0.003523,-0.061396,0.51
-54.275959,-0.004297,0.003399,-0.054717,0.52
-54.276604,0.000691,0.003515,0.008803,0.53
-54.278434,-0.010514,0.003299,-0.133872,0.54
-54.275791,-0.001627,0.00332,-0.020718,0.55
-54.276817,-0.000364,0.003216,-0.004629,0.56
-54.276931,-0.007898,0.003046,-0.100556,0.57
-54.276481,0.001097,0.003098,0.013964,0.58
-54.278675,-0.005484,0.002833,-0.06982,0.59
-54.278798,-0.005788,0.002679,-0.07369,0.6
-54.277794,0.001228,0.002711,0.015634,0.61
-54.279665,-0.008124,0.002473,-0.103439,0.62
-54.277299,-0.000143,0.002599,-0.001821,0.63
-54.278057,-0.000715,0.002606,-0.009107,0.64
-54.277808,-0.008363,0.002437,-0.106475,0.65
-54.279016,0.004673,0.002479,0.059499,0.66
-54.280188,-0.003511,0.002397,-0.0447,0.67
-54.279147,-0.004894,0.002061,-0.062307,0.68
-54.276967,0.001681,0.002218,0.021401,0.69
-54.280097,-0.00869,0.00193,-0.110649,0.7
-54.277335,-0.000983,0.001977,-0.012522,0.71
-54.279197,-0.000918,0.001866,-0.011687,0.72
-54.280773,-0.00636,0.001692,-0.080976,0.73
-54.278185,0.001073,0.001703,0.01366,0.74
-54.281932,-0.00242,0.001626,-0.030812,0.75
-54.279534,-0.007725,0.001542,-0.098355,0.76
-54.280773,-0.000983,0.00148,-0.012522,0.77
-54.28066,-0.006235,0.001214,-0.079382,0.78
-54.281237,-0.004756,0.001239,-0.060561,0.79
-54.281051,0.002182,0.001091,0.027776,0.8
-54.282536,-0.007081,0.000979,-0.090158,0.81
-54.280669,0.001037,0.000846,0.013205,0.82
-54.280882,-0.002879,0.000785,-0.036655,0.83
-54.278861,-0.005001,0.000608,-0.063673,0.84
-54.279888,0.002456,0.000569,0.031267,0.85
-54.281459,-0.0054,0.000412,-0.068757,0.86
-54.281959,-0.00236,0.000366,-0.030053,0.87
-54.282141,0.001872,0.000226,0.02383,0.88
-54.28368,-0.008768,-0.00006,-0.111636,0.89
-54.281655,-0.001478,-0.000085,-0.018821,0.9
-54.282168,-0.000781,-0.000294,-0.009942,0.91
-54.282077,-0.006211,-0.000416,-0.079078,0.92
-54.281105,0.000393,-0.000445,0.005009,0.93
-54.282731,-0.003904,-0.000771,-0.049709,0.94
-54.282368,-0.004256,-0.000875,-0.054186,0.95
-54.283085,-0.00084,-0.000865,-0.010701,0.96
-54.28334,-0.008374,-0.001104,-0.106627,0.97
-54.282213,-0.000983,-0.001155,-0.012522,0.98
-54.283517,0.000787,-0.001328,0.010018,0.99
-54.284107,-0.005335,-0.001546,-0.067922,1
-54.282985,-0.000143,-0.001608,-0.001821,1.01
-54.285238,-0.004011,-0.001644,-0.051075,1.02
-54.282458,-0.003928,-0.001754,-0.050012,1.03
-54.282758,-0.003427,-0.001787,-0.043637,1.04
-54.285692,-0.007653,-0.00205,-0.097444,1.05
-54.282572,0.000036,-0.002032,0.000455,1.06
-54.284938,-0.002271,-0.002121,-0.028914,1.07
-54.283658,-0.011051,-0.002301,-0.140702,1.08
-54.282027,0.001621,-0.002411,0.020642,1.09
-54.284457,-0.004089,-0.002599,-0.052061,1.1
-54.283721,-0.005001,-0.002685,-0.063673,1.11
-54.284466,0.003338,-0.002626,0.042499,1.12
-54.286333,-0.009322,-0.002786,-0.118694,1.13
