LOAD kn,STRAIN1 mm
0.036043,-1E-06
0.039184,0.000241
0.048834,0.000587
0.042647,0.000611
0.037736,0.000725
0.042611,0.000671
0.042725,0.000698
0.036418,0.000638
0.036871,0.000737
0.043237,0.00079
0.038743,0.000855
0.032562,0.000743
0.043398,0.000934
0.040913,0.000929
0.030249,0.000888
0.04077,0.001026
0.044245,0.001196
0.036079,0.001133
0.038904,0.001209
0.046051,0.001367
0.042373,0.001401
0.040215,0.001585
0.048184,0.001926
0.051337,0.002136
0.043315,0.002215
0.044996,0.002326
0.048226,0.002509
0.045848,0.002599
0.045872,0.002822
0.054568,0.003005
0.050825,0.002999
0.045007,0.00306
0.050396,0.003251
0.054586,0.003358
0.045764,0.00356
0.05129,0.003752
0.055271,0.00393
0.051832,0.003951
0.046206,0.003839
0.053596,0.003952
0.051415,0.003856
0.04639,0.003953
0.049204,0.004157
0.05523,0.004114
0.047123,0.004135
0.047588,0.004126
0.05272,0.004379
0.049847,0.00434
0.046539,0.004315
0.054294,0.004614
0.055861,0.004736
0.053912,0.005009
0.055063,0.005237
0.064945,0.00565
0.058836,0.00564
0.052351,0.00559
0.058031,0.005699
0.060737,0.005739
0.051671,0.005734
0.054866,0.005939
0.063586,0.005876
0.054514,0.005836
0.051659,0.005858
0.058699,0.005906
0.059575,0.006023
0.051963,0.005934
0.059503,0.00615
0.064635,0.006291
0.05402,0.006345
0.057423,0.006383
0.064892,0.006678
0.061166,0.006564
0.057715,0.006608
0.065881,0.006992
0.064766,0.006916
0.057733,0.006914
0.067526,0.007107
0.071704,0.007375
0.064868,0.007343
0.066382,0.007641
0.072205,0.007732
0.068939,0.007598
0.061953,0.007773
0.068659,0.00783
0.071013,0.00801
0.064951,0.007883
0.070459,0.008215
0.078106,0.008352
0.068951,0.008548
0.070006,0.008432
0.077176,0.008687
0.078619,0.008739
0.072753,0.008894
0.075746,0.009163
0.080407,0.009348
0.075042,0.009508
0.074947,0.009583
0.085479,0.009714
0.080264,0.009799
0.075781,0.009716
0.080943,0.009883
0.082624,0.009905
0.073874,0.009842
0.07689,0.00998
0.085032,0.01006
0.079715,0.01002
0.075275,0.010089
0.083089,0.010159
0.085151,0.010223
0.077248,0.01018
0.084537,0.010426
0.086999,0.010525
0.079697,0.010644
0.08691,0.010906
0.094557,0.011151
0.090903,0.011126
0.088364,0.011367
0.095546,0.011621
0.095952,0.011763
0.09011,0.011788
0.092787,0.011848
0.09535,0.011982
0.088823,0.011877
0.087649,0.011973
0.097173,0.012051
0.092167,0.011984
0.089997,0.012087
0.095868,0.012362
0.100476,0.012379
0.091052,0.012326
0.09557,0.01243
0.105035,0.012765
0.099087,0.012795
0.098622,0.012979
0.105458,0.013252
0.103372,0.01327
0.100493,0.013278
0.104517,0.01346
0.107151,0.013541
0.101644,0.013547
0.101793,0.013615
0.108409,0.013916
0.103521,0.013734
0.100178,0.01363
0.10609,0.013913
0.108927,0.013931
0.100875,0.013894
0.104928,0.013963
0.11313,0.014127
0.10829,0.014275
0.108743,0.014489
0.117016,0.0146
0.11515,0.014733
0.114131,0.01485
0.120431,0.015111
0.124079,0.015212
0.118637,0.015283
0.119662,0.015314
0.130367,0.015747
0.12337,0.0158
0.119787,0.015812
0.128984,0.01601
0.134838,0.016194
0.125349,0.016228
0.130558,0.016443
0.13541,0.0165
0.130552,0.016508
0.127262,0.016616
0.130826,0.016708
0.130689,0.016533
0.127918,0.016531
0.129795,0.016647
0.133073,0.016757
0.125796,0.016658
0.129533,0.016752
0.135267,0.016962
0.132048,0.017051
0.132293,0.017335
0.14528,0.017598
0.144398,0.017735
0.142902,0.017893
0.147808,0.018028
0.154686,0.018154
0.145274,0.018366
0.147235,0.018491
0.153095,0.018571
0.152493,0.018501
0.146598,0.018485
0.153953,0.018724
0.156629,0.018749
0.145966,0.018658
0.151205,0.018947
0.159872,0.018955
0.150019,0.019046
0.148582,0.019047
0.156426,0.019251
0.159854,0.019227
0.149399,0.019274
0.157607,0.019427
0.164819,0.019579
0.160468,0.019647
0.1616,0.019832
0.172132,0.019918
0.165188,0.02001
0.166047,0.020234
0.170553,0.020373
0.17187,0.020356
0.166589,0.020367
0.168383,0.020647
0.175434,0.020737
0.174809,0.020787
0.168896,0.020799
0.177866,0.020907
0.176722,0.020942
0.171602,0.021005
0.176674,0.021051
0.181758,0.021216
0.175273,0.021148
0.174898,0.02116
0.185293,0.021359
0.180554,0.021325
0.173765,0.021322
0.182194,0.021434
0.183415,0.02149
0.174499,0.021275
0.179619,0.021472
0.184262,0.02167
0.180495,0.021802
0.182879,0.021821
0.192314,0.022239
0.197381,0.022351
0.192082,0.022569
0.202024,0.022848
0.201392,0.022924
0.192535,0.022822
0.196064,0.022931
0.204504,0.023047
0.198364,0.023019
0.195789,0.022974
0.208467,0.023312
0.20842,0.0233
0.20209,0.023461
0.206214,0.023537
0.209463,0.023569
0.205493,0.023537
0.205171,0.023666
0.213331,0.023826
0.211477,0.023743
0.208247,0.023707
0.213349,0.024114
0.21987,0.024141
0.212926,0.024
0.215024,0.024214
0.222933,0.024388
0.215673,0.024288
0.214744,0.02435
0.221729,0.024655
0.224942,0.024728
0.216901,0.024593
0.221837,0.024677
0.228894,0.024931
0.22164,0.024846
0.224072,0.025039
0.235093,0.025351
0.234592,0.025521
0.23334,0.025565
0.240105,0.025911
0.243121,0.025786
0.234163,0.025976
0.236571,0.026031
0.245029,0.026063
0.239897,0.026079
0.236607,0.026103
0.243956,0.026235
0.249439,0.026376
0.242031,0.026479
0.247902,0.026519
0.251013,0.026749
0.248063,0.026846
0.249887,0.026689
0.256264,0.02684
0.252539,0.026869
0.24814,0.02683
0.253123,0.027094
0.255287,0.027117
0.249583,0.027044
0.252116,0.027158
0.261909,0.027279
0.259036,0.027471
0.256538,0.0275
0.26499,0.027602
0.265068,0.027785
0.260258,0.027886
0.266773,0.027849
0.275838,0.028104
0.270694,0.028297
0.272208,0.028404
0.282371,0.028636
0.281042,0.028858
0.279647,0.029037
0.288713,0.029334
0.293487,0.029388
0.287819,0.029523
0.286138,0.02952
0.292027,0.029461
0.28531,0.029407
0.279218,0.029334
0.287956,0.029472
0.286549,0.02939
0.279742,0.029421
0.284433,0.029614
0.290114,0.029642
0.282568,0.029674
0.285083,0.029646
0.295198,0.029801
0.292104,0.029768
0.286698,0.029831
0.296968,0.030084
0.301719,0.030167
0.300241,0.030277
0.301957,0.030583
0.306559,0.030631
0.307679,0.030721
0.303209,0.030677
0.313497,0.030883
0.308865,0.030948
0.307351,0.030953
0.312012,0.031085
0.315702,0.031306
0.311273,0.031162
0.311631,0.031254
0.322455,0.031361
0.320083,0.031566
0.314444,0.03158
0.324005,0.031796
0.327551,0.031838
0.321883,0.031928
0.326043,0.032055
0.328577,0.032177
0.323546,0.03209
0.325227,0.032231
0.332624,0.032353
0.332367,0.032303
0.327033,0.032403
0.335449,0.032516
0.338167,0.032463
0.328022,0.032452
0.332147,0.03252
0.340617,0.032736
0.339872,0.032787
0.338823,0.032995
0.348538,0.033297
0.349784,0.03339
0.344723,0.033449
0.352597,0.033573
0.360489,0.033777
0.355148,0.033764
0.356919,0.033948
0.368023,0.03426
0.363743,0.034236
0.36248,0.034404
0.367844,0.034526
0.370789,0.034583
0.362372,0.034456
0.364709,0.034598
0.37232,0.034692
0.368243,0.034723
0.360548,0.034751
0.369191,0.034799
0.370789,0.034842
0.36608,0.034803
0.36869,0.034907
0.374794,0.034946
0.367898,0.034888
0.369841,0.035004
0.375569,0.035091
0.376791,0.035247
0.376135,0.035278
0.384355,0.035533
0.390273,0.035563
0.38113,0.035675
0.385153,0.035805
0.395852,0.035936
0.38833,0.035939
0.388694,0.036063
0.39531,0.036137
0.392884,0.036238
0.38951,0.036187
0.395876,0.036491
0.403917,0.036552
0.393784,0.036528
0.399578,0.036614
0.406557,0.036862
0.403112,0.036869
0.397158,0.036839
0.406545,0.037149
0.411266,0.037157
0.404572,0.037095
0.412172,0.037395
0.417107,0.0375
0.414431,0.037347
0.412995,0.037616
0.425249,0.037888
0.423509,0.037917
0.421709,0.038092
0.425977,0.03815
0.427788,0.038175
0.42606,0.038246
0.429529,0.038357
0.433969,0.038499
0.431967,0.038601
0.430471,0.038493
0.436145,0.038715
0.437486,0.038773
0.430965,0.038718
0.432986,0.038828
0.442421,0.038957
0.436282,0.038964
0.438821,0.039089
0.453049,0.039406
0.449371,0.039355
0.447255,0.039437
0.45532,0.039683
0.457174,0.039788
0.453186,0.039817
0.458008,0.039854
0.463772,0.039983
0.457513,0.039952
0.459623,0.04016
0.469095,0.040528
0.472182,0.040322
0.465816,0.040414
0.467807,0.040693
0.472486,0.040728
0.467873,0.040745
0.470698,0.040783
0.476027,0.04087
0.472605,0.040789
0.471675,0.040921
0.482231,0.041117
0.485307,0.041263
0.474221,0.041196
0.479501,0.041346
0.48486,0.041384
0.483465,0.041427
0.481004,0.041481
0.491893,0.041767
0.491983,0.041821
0.490761,0.041905
0.497514,0.04202
0.49988,0.042031
0.495082,0.042165
0.494915,0.042209
0.501424,0.042437
0.50137,0.042366
0.497335,0.042383
0.506473,0.042586
0.506508,0.042647
0.506353,0.042759
0.509131,0.042884
0.514793,0.043049
0.511003,0.04314
0.510401,0.043041
0.519609,0.043247
0.517839,0.043278
0.515544,0.043411
0.524062,0.043699
0.528699,0.043766
0.52461,0.043803
0.523919,0.04382
0.530773,0.044033
0.529498,0.043949
0.525302,0.044059
0.534207,0.04428
0.53525,0.044223
0.530571,0.044121
0.532848,0.044333
0.53851,0.044397
0.535488,0.044336
0.531703,0.044391
0.539577,0.044467
0.539285,0.044597
0.537872,0.044536
0.547796,0.044884
0.555569,0.045089
0.552213,0.045159
0.55781,0.045434
0.568229,0.045807
0.563854,0.045765
0.55843,0.045696
0.565821,0.045903
0.562418,0.04593
0.556535,0.045823
0.561804,0.046013
0.566995,0.046082
0.560522,0.046059
0.564367,0.046016
0.56951,0.046212
0.568163,0.046286
0.565934,0.046238
0.57435,0.046384
0.573111,0.046402
0.569886,0.046344
0.57162,0.046442
0.580657,0.046494
0.576019,0.046545
0.573939,0.04654
0.586534,0.046843
0.585955,0.046838
0.584292,0.046969
0.599277,0.047421
0.60395,0.047854
0.599396,0.047935
0.605762,0.047988
0.607097,0.048111
0.603002,0.047913
0.600004,0.048018
0.60724,0.048069
0.606781,0.048095
0.601536,0.048089
0.608647,0.048281
0.618404,0.048411
0.608552,0.048357
0.614089,0.048416
0.617999,0.048475
0.612897,0.048445
0.608069,0.048472
0.613743,0.048689
0.618303,0.048626
0.61298,0.048658
0.617701,0.048735
0.624305,0.048859
0.619811,0.048953
0.621063,0.048932
0.633121,0.049278
0.634617,0.049397
0.636083,0.049406
0.644517,0.049936
0.649011,0.050032
0.646287,0.05006
0.647789,0.050226
0.653315,0.050349
0.645673,0.050223
0.640202,0.050264
0.651467,0.050219
0.648922,0.050329
0.644916,0.050289
0.649291,0.050457
0.654584,0.050485
0.651991,0.050544
0.652003,0.050512
0.664705,0.050619
0.664622,0.050846
0.66219,0.051035
0.672412,0.051269
0.676662,0.051417
0.676197,0.051452
0.677991,0.051845
0.686753,0.051799
0.682163,0.051938
0.677824,0.051902
0.687248,0.051949
0.685215,0.052029
0.679803,0.052079
0.688261,0.052299
0.694442,0.052419
0.688767,0.052376
0.690281,0.052413
0.700468,0.052662
0.696969,0.052684
0.696945,0.052734
0.704223,0.052912
0.706297,0.05291
0.698102,0.053007
0.703931,0.053077
0.711,0.053232
0.70675,0.053251
0.706869,0.053237
0.718147,0.053525
0.715601,0.053482
0.712085,0.053553
0.716472,0.053663
0.721788,0.053683
0.715286,0.05375
0.719607,0.053892
0.727403,0.053899
0.722271,0.053919
0.721478,0.053945
0.728261,0.054216
0.730973,0.054139
0.725549,0.054226
0.733125,0.054431
0.739896,0.054618
0.733459,0.054519
0.735933,0.054696
0.743967,0.054752
0.742519,0.054934
0.73843,0.054935
0.747293,0.055
0.75103,0.055122
0.741941,0.055046
0.748116,0.055282
0.754637,0.055288
0.750154,0.055408
0.748622,0.055297
0.756729,0.055571
0.749546,0.055495
0.750011,0.055499
0.757581,0.055674
0.762498,0.055843
0.757718,0.055826
0.765914,0.055941
0.77706,0.056225
0.770497,0.056456
0.773996,0.056518
0.788164,0.05693
0.790203,0.056933
0.78426,0.057024
0.790119,0.057337
0.794727,0.057515
0.793076,0.057446
0.795823,0.057527
0.804877,0.05785
0.794983,0.057791
0.794154,0.057701
0.80179,0.057893
0.804216,0.05802
0.799203,0.057938
0.808603,0.058102
0.813448,0.058277
0.810939,0.058329
0.808758,0.058427
0.820774,0.058527
0.819415,0.058621
0.817108,0.058711
0.825804,0.058927
0.832045,0.059122
0.830173,0.059177
0.8322,0.059534
0.835073,0.059425
0.82798,0.059328
0.826722,0.059429
0.836259,0.059673
0.832081,0.0596
0.826478,0.059615
0.831771,0.059663
0.835782,0.059741
0.824779,0.059566
0.827175,0.059677
0.836676,0.05957
0.826281,0.059644
0.823051,0.059511
