LOAD kn,STRAIN1 mm
0.057143,0.009282
0.048596,0.009133
0.059289,0.00958
0.055009,0.009651
0.059611,0.009896
0.061631,0.010028
0.068164,0.010514
0.068599,0.01066
0.067073,0.010788
0.071383,0.011127
0.069308,0.011089
0.075454,0.011157
0.066584,0.011338
0.076264,0.0116
0.065863,0.011533
0.074416,0.011678
0.067657,0.011569
0.073737,0.011638
0.068837,0.011625
0.069761,0.011899
0.073421,0.01186
0.073403,0.012144
0.07841,0.012318
0.074935,0.012474
0.085783,0.012853
0.075477,0.012835
0.081646,0.012978
0.077337,0.012819
0.083363,0.012894
0.076789,0.012866
0.077659,0.013
0.081319,0.013087
0.081044,0.013187
0.087166,0.013258
0.079018,0.013406
0.089729,0.013531
0.082004,0.01354
0.090909,0.013906
0.08229,0.013798
0.087786,0.014071
0.081009,0.014054
0.088251,0.01419
0.087875,0.014292
0.085849,0.014451
0.092459,0.014459
0.08713,0.014494
0.091463,0.014531
0.08325,0.014386
0.092244,0.014713
0.086552,0.014675
0.096285,0.014787
0.090742,0.014928
0.099492,0.015213
0.100613,0.015207
0.099468,0.015391
0.097227,0.015508
0.096154,0.015421
0.099766,0.015629
0.095803,0.015648
0.103378,0.015807
0.095606,0.015844
0.104719,0.015917
0.096953,0.01591
0.10438,0.01612
0.09973,0.01612
0.105321,0.016085
0.10075,0.016305
0.105339,0.016459
0.105375,0.016543
0.105411,0.016621
0.11217,0.016612
0.101668,0.016675
0.117618,0.016816
0.103718,0.016877
0.110942,0.017153
0.105619,0.017035
0.113493,0.01729
0.11031,0.017268
0.110644,0.017267
0.112665,0.017464
0.111604,0.017596
0.120026,0.017522
0.114298,0.017752
0.126177,0.018095
0.118035,0.01812
0.131029,0.018503
0.124317,0.018517
0.1315,0.018736
0.12666,0.018813
0.130284,0.018919
0.12539,0.018932
0.126827,0.01889
0.130969,0.019186
0.127995,0.019266
0.13513,0.019396
0.128144,0.019298
0.138241,0.019484
0.12961,0.019658
0.140196,0.01976
0.13417,0.019881
0.143719,0.020077
0.139546,0.020087
0.142443,0.02034
0.14497,0.020436
0.141793,0.020473
0.146073,0.020609
0.138468,0.020567
0.148284,0.020761
0.137615,0.020698
0.149983,0.020697
0.139296,0.020636
0.148612,0.020847
0.138634,0.020759
0.148141,0.020871
0.147015,0.021074
0.148386,0.021124
0.148875,0.021148
0.147337,0.021364
0.157452,0.021278
0.15083,0.021502
0.165778,0.021803
0.160992,0.022093
0.169307,0.022446
0.161666,0.022376
0.169283,0.02245
0.165707,0.022518
0.166923,0.022611
0.168997,0.022733
0.166905,0.022802
0.168335,0.022884
0.163728,0.022766
0.170624,0.022865
0.163114,0.022849
0.174004,0.022895
0.165546,0.022934
0.176495,0.02327
0.170457,0.023158
0.176263,0.0234
0.174797,0.023515
0.179541,0.023774
0.18186,0.023702
0.178069,0.023883
0.185001,0.023933
0.181782,0.023954
0.1912,0.024276
0.18059,0.024195
0.189519,0.024468
0.185019,0.024391
0.192016,0.024472
0.187647,0.024561
0.193852,0.024721
0.192428,0.024929
0.195807,0.025043
0.198478,0.025211
0.195253,0.025145
0.203496,0.025493
0.194478,0.02526
0.206363,0.025507
0.19716,0.025493
0.209939,0.025851
0.20017,0.025793
0.206304,0.02588
0.205481,0.02599
0.208622,0.025932
0.210619,0.026167
0.208586,0.026252
0.213677,0.026299
0.207114,0.026193
0.218368,0.026377
0.210327,0.026378
0.219935,0.026677
0.212258,0.026588
0.221217,0.026863
0.216782,0.026746
0.223249,0.026867
0.217295,0.026839
0.221413,0.027057
0.223488,0.027115
0.220948,0.027072
0.231212,0.02743
0.224,0.027381
0.235677,0.027735
0.229359,0.027695
0.23542,0.027945
0.230974,0.027942
0.237149,0.027993
0.233817,0.027971
0.235963,0.028106
0.237668,0.028098
0.233483,0.028289
0.243258,0.028382
0.238025,0.028423
0.248438,0.0286
0.238299,0.02862
0.248611,0.028743
0.239623,0.028664
0.247735,0.028775
0.241435,0.028795
0.251108,0.028964
