POSN mm ,LOAD kn,STRAIN1 mm,TIME(sec)
-54.187815,0.057375,0,3.23
-54.187806,0.064039,0.000337,3.24
-54.188537,0.058687,0.000242,3.25
-54.189641,0.061232,0.000298,3.26
-54.188469,0.066942,0.000442,3.27
-54.18801,0.06091,0.000583,3.28
-54.189772,0.062704,0.000572,3.29
-54.189895,0.066686,0.000719,3.3
-54.188224,0.056374,0.000651,3.31
-54.189945,0.064307,0.000903,3.32
-54.189513,0.067163,0.001001,3.33
-54.188065,0.056803,0.000956,3.34
-54.188864,0.065815,0.000991,3.35
-54.188541,0.0673,0.001085,3.36
-54.18895,0.060612,0.00129,3.37
-54.190467,0.071108,0.001534,3.38
-54.189954,0.066853,0.001561,3.39
-54.191035,0.063461,0.001649,3.4
-54.191076,0.073451,0.001771,3.41
-54.189041,0.065875,0.001895,3.42
-54.192729,0.070417,0.002182,3.43
-54.192307,0.073862,0.002408,3.44
-54.190122,0.066531,0.002281,3.45
-54.19203,0.06994,0.00241,3.46
-54.190422,0.075221,0.002609,3.47
-54.190658,0.067586,0.002702,3.48
-54.193233,0.07506,0.002725,3.49
-54.191544,0.070024,0.002632,3.5
-54.191112,0.064832,0.002718,3.51
-54.192257,0.073248,0.002873,3.52
-54.190417,0.067127,0.002801,3.53
-54.192034,0.066906,0.002975,3.54
-54.192543,0.076276,0.003156,3.55
-54.191462,0.068146,0.003199,3.56
-54.193356,0.072175,0.003266,3.57
-54.192075,0.078136,0.003384,3.58
-54.192561,0.070405,0.003491,3.59
-54.193297,0.078839,0.003726,3.6
-54.191412,0.078464,0.003769,3.61
-54.190145,0.072455,0.003842,3.62
-54.193288,0.082719,0.004008,3.63
-54.191966,0.077641,0.00396,3.64
-54.193397,0.07115,0.004047,3.65
-54.19545,0.081533,0.004183,3.66
-54.192738,0.071424,0.00414,3.67
-54.193142,0.074482,0.004371,3.68
-54.193528,0.07956,0.004491,3.69
-54.193737,0.073683,0.004386,3.7
-54.193465,0.079173,0.004422,3.71
-54.193597,0.081897,0.00459,3.72
-54.191912,0.073528,0.004602,3.73
-54.195263,0.080299,0.004833,3.74
-54.19366,0.080997,0.004928,3.75
-54.193061,0.077188,0.004944,3.76
-54.195468,0.084007,0.005229,3.77
