POSN mm ,LOAD kn,STRAIN1 mm,TIME(sec),,,,STRAIN,FORCE
-54.156498,-0.007027,-0.001489,0,,Last row,,0.001489,0.007027
-54.15534,-0.002158,-0.001468,0.01,,11871,0.001468,0.001468,0.002158
-54.156716,-0.005955,-0.001579,0.02,,Tol,0.001579,0.001579,0.005955
-54.154682,-0.005132,-0.001499,0.03,,0.0001,0.001499,0.001499,0.005132
-54.155935,0.001466,-0.001466,0.04,,,0.001466,0.001466,-0.001466
-54.156335,-0.006604,-0.001527,0.05,,,0.001527,0.001527,0.006604
-54.155799,-0.004208,-0.001519,0.06,,,0.001519,0.001519,0.004208
-54.157039,-0.002772,-0.001364,0.07,,,0,0.001364,0.002772
-54.159319,-0.009114,-0.001616,0.08,,,0.001616,0.001616,0.009114
-54.154959,-0.003886,-0.00159,0.09,,,0.00159,0.00159,0.003886
-54.158388,-0.005543,-0.001692,0.1,,,0.001692,0.001692,0.005543
-54.157602,-0.011051,-0.001825,0.11,,,0.001825,0.001825,0.011051
-54.157679,-0.002956,-0.001899,0.12,,,0.001899,0.001899,0.002956
-54.15837,-0.004661,-0.001989,0.13,,,0.001989,0.001989,0.004661
-54.158897,-0.007272,-0.002079,0.14,,,0.002079,0.002079,0.007272
-54.157234,-0.002509,-0.001996,0.15,,,0.001996,0.001996,0.002509
-54.16119,-0.007975,-0.002096,0.16,,,0.002096,0.002096,0.007975
-54.158147,-0.009304,-0.00221,0.17,,,0.00221,0.00221,0.009304
-54.157852,-0.003821,-0.002373,0.18,,,0.002373,0.002373,0.003821
-54.157248,-0.01362,-0.00266,0.19,,,0.00266,0.00266,0.01362
-54.160877,-0.012034,-0.00291,0.2,,,0.00291,0.00291,0.012034
-54.157402,-0.005293,-0.00288,0.21,,,0.00288,0.00288,0.005293
-54.158483,-0.014693,-0.003161,0.22,,,0.003161,0.003161,0.014693
-54.15832,-0.008446,-0.003079,0.23,,,0.003079,0.003079,0.008446
-54.159991,-0.006646,-0.003291,0.24,,,0.003291,0.003291,0.006646
-54.160986,-0.014955,-0.003353,0.25,,,0.003353,0.003353,0.014955
-54.158252,-0.006199,-0.003328,0.26,,,0.003328,0.003328,0.006199
-54.160064,-0.009835,-0.003633,0.27,,,0.003633,0.003633,0.009835
-54.159373,-0.013769,-0.003894,0.28,,,0.003894,0.003894,0.013769
-54.158838,-0.004488,-0.003848,0.29,,,0.003848,0.003848,0.004488
-54.160127,-0.013453,-0.004009,0.3,,,0.004009,0.004009,0.013453
-54.159587,-0.013572,-0.004141,0.31,,,0.004141,0.004141,0.013572
